id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
329505,El pecado de Lola,18.3921,7.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
337167,Cincuenta sombras liberadas,40.1965,6.672,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
350,El diablo viste de Prada,60.127,7.434,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
361743,Top Gun: Maverick,26.2753,8.159,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
37169,El ciempiés humano,30.4595,5.187,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
372058,Your Name.,25.2944,8.481,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
389,12 hombres sin piedad,19.6979,8.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
39254,Acero puro,61.2199,7.109,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
396535,Train to Busan,23.413,7.751,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
402,Instinto básico,14.4598,6.949,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
405746,DOOR,19.4725,6.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4232,Scream,20.3216,7.431,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
424,La lista de Schindler,21.2406,8.569,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4247,Scary Movie,59.7536,6.414,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
424711,Las cálidas noches de Poppea,64.7211,4.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4248,Scary Movie 2,35.9991,5.836,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
425274,Ahora me ves 3,26.4182,6.498,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
4256,Scary Movie 3,20.7849,5.976,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4257,Scary Movie 4,23.307,5.492,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4258,Scary Movie 5,45.0465,4.796,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
429617,Spider-Man: Lejos de casa,26.7842,7.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
432123,Savior,41.3626,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
438631,Dune,23.4016,7.78,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
44980,Zero WOMAN ＩＩ　警視庁０課の女,32.1419,5.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
454639,He-Man y los masters del universo,121.6616,7.221,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
